Latitude,Longitude,Restock,Color,Advertiser Color,Advertiser,Name,Category,Address,City,State,Zipcode,Contact Name,Contact Phone,Has Rack,Total Quantity to Deliver,Initial Delivery,Restock Quantity (6 x),Delivered to Date,Quantity Returned,Number of Deliveries,hourly,Driver,Notes,Stop #
37.468776,-122.428211,y,blue,blue,y,"New Leaf,Westside",food,150 San Mateo Rd,Half Moon Bay,CA,,,,,80,80,0,,,,,Mick,will restock,
36.972448,-122.027465,y,,,,Nickelodean Theatre,,210 Lincoln Street,Santa Cruz,CA,95062,,,,160,40,20,40,,,,Nelson ,,23
36.968413,-121.965069,y,,,y,O'Neil Surf Shop,,1115 41st Avenue,Capitola,CA,,,,,160,,20,,,,,Nelson,,2
36.96405,-122.019973,n,blue,blue,y,O'Neill Boardwalk,surf,400 Beach St,Santa Cruz,CA,,Elfin,,y,54,54,,,,,,CPL,They can't eep in stock,
36.97506,-122.026281,y,red,blue,y,O'Neill Pacific Ave,surf,110 Cooper St #100D,Santa Cruz,CA,,Elfin,,y,160,40,20,120,,2,,Nelson ,Evan,19
36.968107,-121.964959,y,red,blue,y,O'Neill Surf Shop 41st Ave,surf,1115 41st Ave,Capitola,CA,,elfin,,,160,40,20,80,,2,,Nelson ,,1
36.971635,-122.025568,n,blue,blue,y,Old School Shoes,retail,1017 Pacific Ave,Santa Cruz,CA,,,,,40,40,,,,,,Mick,,
36.614633,-121.902623,n,silver,silver,,On the Beach Surf Shop,surf,693 Lighthouse Ave,Monterey,CA,,,,,40,40,,12/8/2014,,,y,Bill,,
36.97513,-122.026393,n,silver,silver,,Pac Wave,surf,1502 Pacific Ave,Santa Cruz,CA,,Ashley / Bubb,,y,40,40,,40,,,,Mick,,
36.980417,-121.908835,y,red,silver,,Pacific Coffee Roasting,coffee,7554 Soquel Dr,Aptos,CA,95003,,,,260,20,40,12/6/2014,,,,Bill,,
36.913953,-121.758161,n,silver,silver,,Pajaro Valley Chamber & Visitor's Center,other,44 Brennan St,Watsonville,CA,,,,,40,40,,12/8/2014,,,Y,Bill,,
36.952084,-121.877042,n,blue,blue,y,Palapas,food,21 Seascape Blvd,aptos,,,,,,40,40,,12/6/2014,,,Y,Bill,,
36.972194,-121.952349,n,blue,blue,y,Paradise Beach Grille,eating,215 Esplanade,Capitola,CA,95010,Kristin / Leslie,,,40,40,,20,,,,Mick,,
36.961317,-122.04397,n,blue,blue,y,Parish Pub,eating,841 Almar Avenue,Santa Cruz,,,Joel,,,54,54,,20,,,,CPL,,
36.999205,-122.022617,n,silver,silver,,Pasatiempo Inn,lodging,555 California 17,Santa Cruz,CA,,,,,40,40,,,,,,Mick,,
36.963366,-121.970377,n,,,,Paula's Restuarant,,3500 Portola Drive,Santa Cruz,CA,,,,,40,40,,40,,,,Nelson,,
36.961128,-122.047588,n,blue,blue,y,Pearson Arrow Surf Shop,surf,2324 Mission St,Santa Cruz,CA,,Tim,423-8286,,40,40,,40,,,,CPL,,
36.964303,-121.964862,y,red,blue,y,"Penny Ice Creamery, Cap.",eating,820 41st Ave,Capitola,CA,,Zach,,y,280,40,40,40,,,,Nelson ,,4
36.974523,-122.027697,y,red,blue,y,"Penny Ice Creamery, SC",eating,913 Cedar St,Santa Cruz,CA,,Evan,,,160,40,20,40,,,,Nelson ,,22
36.971121,-121.98382,n,silver,silver,,Peoples Coffee,coffee,1200 17th Ave #126,Santa Cruz,CA,95062,,,,40,40,,20,,,,Mick,,
36.80302,-121.787123,y,red,silver,,Phils Fish Market,eating,7600 Sandholdt Rd,Moss Landing,CA,,,,,324,84,40,12/6/2014,,,Y,Bill,All Moss Landing stops done on Fridays,
36.972007,-121.951752,y,red,silver,,"Pizza My Heart, Cap 41st",pizza,41st Ave,Capitola,CA,,,,y,200,80,20,120,,2,,Mick,manager Brian,
36.972264,-122.025544,n,silver,silver,,"Pizza my Heart, SC",pizza,1116 Pacific Ave,Santa Cruz,CA,,,,,42,42,,40,,,,Mick,,
36.986298,-122.035074,n,silver,silver,,Plantronics,,345 Encinel Street,Santa Cruz ,CA,95060,,,,80,80,,?,,,,Mick,,
36.963454,-121.964968,n,blue,blue,y,"Pleasure Pizza, Cap",pizza,800 41st Ave,Capitola,CA,,,,,40,40,,20,,,,Mick,,
36.970852,-122.025193,n,blue,blue,y,"Pleasure Pizza, Sc",pizza,1011 Pacific Ave,Santa Cruz,CA,,,,y,0,0,,,,,,Mick,"asked for fewer copies, no display area",
36.975854,-122.028511,y,red,blue,y,Pono Grill,eating,120 Union St,Santa Cruz,,,Timmy,,,160,40,20,80,,,,Nelson ,"owner Timmy, Reef mngr Burt",21
36.97397,-121.888352,,,,,Red Apple,eating,783 Rio Del Mar Boulevard,Aptos,CA,,,,,,,,,,,,Bill,,
36.962988,-121.964896,n,silver,silver,,"Rip Curl, Cap",surf,753 41st Ave,Santa Cruz,CA,,Jordon,454-0360,,40,40,,40,,,,Mick,,
